district_name,Total_Individuals_Worked,Total_Households_Worked,Total_No_of_Active_Workers,Total_Exp,Wages,Average_Wage_rate_per_day_per_person,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Women_Persondays,SC_persondays,ST_persondays
BAGALKOTE,1971768,1129863,4093730,185126.21479508962,128748.62061319663,3389.2742095626672,12908,23498740,7285863,3430424
BALLARI,2462840,1132320,3932342,188786.87215947665,147981.47066510067,3040.93672191078,19794,30050022,11218785,17186171
BELAGAVI,4163146,2785558,11095817,460681.4126141501,304723.80479339743,3403.078274643697,24569,59693172,11034412,10957518
BENGALURU,28055,16037,193456,2767.511960729,1712.1847612000001,3275.387933983062,247,309260,92462,8662
BENGALURU RURAL,527923,310960,1767405,61340.22848337607,39783.49083930006,3560.998547776157,2312,6633582,1836095,805291
BIDAR,1723554,1078311,3639042,210094.632370516,115531.88262190003,3391.305920230457,2847,20898686,9500559,7289226
CHAMARAJA NAGARA,929067,578497,3675205,73267.64492330288,49790.71937919978,3590.088370663912,1259,9072212,4644264,1415990
CHIKKABALLAPURA,1128372,650079,4271718,111752.07401913602,70254.00119600006,3481.183915604658,6240,12184997,4738522,2973939
CHIKKAMAGALURU,962021,518552,2858956,105406.234458587,62274.45492869996,3406.710725072226,4280,10701838,3106540,635361
CHITRADURGA,1874034,1107629,5330044,181133.057801791,131434.82202619998,3279.275864314028,6214,24296776,8633224,10684996
DAKSHINA KANNADA,408499,242441,1998119,43532.228633017,29605.4180576,3421.257341206789,1706,5392637,646093,617400
DAVANAGERE,1220952,687498,3460990,103626.95151263477,77504.07448239878,3530.67238477826,5787,13128961,5772328,3899838
DHARWAR,896110,501179,2753838,79052.78795031103,54373.02517990007,3495.437889655664,2393,8196408,1544065,1101281
GADAG,2254812,1063660,3740388,139609.58566378633,112508.47878720028,3481.138031261869,4457,18354296,5855015,3361201
HASSAN,1581814,870793,5004565,154736.623477971,94003.28378400001,3504.9913271729138,6431,16082496,4451963,521841
HAVERI,1750967,917994,4599054,154904.52840725298,103683.70155859998,3367.497274719061,7677,16544386,4702043,4491080
KALABURAGI,3104284,1793796,6539341,191041.62005358096,140519.11261089996,3254.308163639887,2751,27313395,12331298,1157872
KODAGU,167014,100341,911877,15271.106291658,10427.0323339,3470.741699265291,291,1792966,311688,172564
KOLAR,1137968,708408,4144267,148127.87986456702,86194.37757159994,3426.418524977926,5431,15120828,6928474,1949583
KOPPAL,4353927,2056976,6790348,300245.8909754813,242919.00342009257,3210.324282847717,27003,45308076,14168356,12663784
MANDYA,1026453,652323,4533469,123096.08770434199,62743.44798839999,3431.238397400807,3098,12280245,2366924,125845
MYSURU,918266,511541,4839582,86244.787830431,49727.0437503,3514.7938902731003,3731,8201521,2750070,1608829
RAICHUR,4962325,2484982,7759130,405106.81996736233,268400.93264830223,2874.781293377211,25189,54583858,18828165,24225213
RAMANAGARA,1196242,725196,3955173,169429.93213787285,82396.60184250002,3286.626079526479,4877,14679551,3890981,417392
SHIVAMOGGA,1425386,814871,4845484,92007.85176432,60660.655839000014,3372.258599917804,1811,11123542,4532200,1212888
TUMAKURU,1824214,1023868,6418512,204070.487439058,116808.6162531,3448.093541498857,6363,19610407,5295458,3065001
UDUPI,302012,176934,1369064,36101.38611756999,18907.198531700047,3550.307932261503,1617,3908100,303381,312053
UTTARA KANNADA,741944,439000,2765041,59812.15210140199,40643.03080440001,3490.084789847569,1441,7154681,801047,494208
VIJAYANAGARA,2968506,1502331,5485151,293117.6817427133,210451.4427005985,3148.950554778684,46614,39154438,17431717,16250637
VIJAYPURA,1430052,911761,4108785,131794.24574527092,93778.16713369983,3478.931112591642,6164,16249213,5680229,549111
Yadgir,1648918,1044281,3654143,127990.92995387306,106465.30375230005,3389.949273119282,3900,18639402,7286863,4374044
