fin_year,month,state_code,State,district_code,District,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2023-2024,Oct,15,KARNATAKA,1506,BIDAR,3718182,301.960116792508,36,403,6968.40383006499,13576,0,45946,3716848,895723,81046,698109,53252,614.25713,18806.059521865,101372,163015,155366,304518,235,243758,458226,59522,11223.3985618,1979598,60,29.8,29.82,100.2,
2023-2024,Oct,15,KARNATAKA,1512,DAVANAGERE,2445015,303.85485034627,38,291,2526.295004407,6227,0,27914,2443875,551580,66677,364992,44551,387.67186,10339.7995883069,63426,113111,123456,288761,434,235323,516597,34141,7425.8327238999,1247991,80,33.86,28.87,99.95,
2023-2024,Oct,15,KARNATAKA,1518,KODAGU,349294,299.625643602762,34,115,476.646421071,2942,1,6524,348033,31289,8273,16817,4176,107.35527,1626.797807271,10106,16857,32080,76156,24,87030,189900,9466,1042.7961162,180754,79,31.5,17.27,100.31,
2023-2024,Oct,15,KARNATAKA,1520,KOPPAL,7829222,286.004306228195,43,3611,5507.12549032017,9361,0,51201,7828691,1286717,96084,1144214,79242,452.33867,28349.8575416193,180952,384696,221911,566761,2318,320915,843308,60562,22390.3933812991,4083854,69,18.65,68.46,99.68,
2023-2024,Oct,15,KARNATAKA,1530,Yadgir,3492803,295.59692909823,34,521,3169.332551675,13727,0,43909,3491831,711279,66264,432798,36140,219.17378,13710.251536975,101398,161100,156205,306325,356,267551,530503,57636,10321.7452053,1810812,81,40.05,43.7,99.91,
2023-2024,Aug,15,KARNATAKA,1515,KALABURAGI,3990829,285.179051140257,26,699,108.266962,4807,0,43163,3988482,989106,142863,95075,10808,326.99324,11809.5753245,151366,262305,250441,544695,151,414723,874447,47970,11374.3151225,2190409,64,22.58,48.23,99.85,
2023-2024,Aug,15,KARNATAKA,1528,CHIKKABALLAPURA,1612487,287.529372435411,30,2397,1816.211104183,6958,0,39069,1612344,324180,83402,201323,50484,221.22732,6673.401008883,52797,90199,142457,355927,225,221077,534536,46027,4635.9625847,836032,80,44.69,20.95,99.5,
2023-2024,March,15,KARNATAKA,1505,BALLARI,6380000,273.707271900876,55,2248,5010.10940555699,27699,0,12229,5444212,1084122,69228,1656309,96173,441.16654,20352.4800872571,98933,217010,113760,327939,2337,168506,475691,39928,14901.2041417001,2909383,59,35.54,47.55,99.85,
2023-2024,March,15,KARNATAKA,1507,VIJAYPURA,4400000,313.317032851778,44,1687,6236.33729955,32212,1,33873,4389747,798097,70906,77513,6100,783.06399,20773.2263396499,99388,158813,161567,344998,1243,345208,763862,66085,13753.8250500999,2261308,75,49.69,26.43,100.03,
2023-2024,March,15,KARNATAKA,1513,DHARWAR,2350000,311.464246733838,43,227,4186.82214317799,15693,0,37334,2340514,200535,20512,142533,15707,410.31131,11886.997752978,53537,97314,87800,229986,448,169185,403489,53027,7289.86429980001,1069978,76,34.63,27.86,101.92,
2023-2024,March,15,KARNATAKA,1519,KOLAR,4200000,310.970886415533,51,426,9198.85677035501,40945,0,32033,4143181,1010902,94514,280579,23485,859.36881,22942.312261855,81230,133362,138568,346117,1049,238496,576871,72978,12884.0866815,2187405,73,36.95,25.4,100.15,
2023-2024,May,15,KARNATAKA,1509,CHIKKAMAGALURU,314787,236.092050529406,19,57,1486.067898098,4407,0,30493,314787,40886,46279,9840,9096,84.83651,2314.091491198,16268,28165,97190,236965,3,174292,395601,34900,743.1870831,160161,69,24.54,13.2,100.6,
2023-2024,May,15,KARNATAKA,1512,DAVANAGERE,865014,269.977527853655,23,162,34.9334422,981,0,27955,864698,191850,66280,131928,44209,112.90404,2482.327766,36541,63119,122492,286958,23,233041,512906,28936,2334.4902838,434761,81,28.16,30.2,100.01,
2023-2024,May,15,KARNATAKA,1517,HAVERI,735349,230.702775896389,21,195,43.070663,1920,1,48281,734977,96353,56386,103518,44555,47.59301,1786.2760142,34697,63678,156965,381507,15,266153,612427,50201,1695.6123412,349288,74,17.66,15.98,99.94,
2023-2024,May,15,KARNATAKA,1519,KOLAR,563635,254.707208546923,19,167,1697.918603239,2175,0,58156,563384,133228,94108,37984,23413,212.18077,3345.079033039,29219,44061,137561,344346,11,235656,576547,60331,1434.9796598,292148,73,38.55,23.88,100.1,
2023-2024,May,15,KARNATAKA,1521,MANDYA,390275,258.178898702683,15,142,2674.192930421,6860,0,36096,390267,42319,43935,2348,2761,0.0,3681.779973021,24804,36717,154199,376281,4,342616,750988,42956,1007.5870426,219234,75,25.04,14.51,100.05,
2023-2024,May,15,KARNATAKA,1523,RAICHUR,3755895,180.660695762262,23,636,7388.31762677634,10515,0,51380,3755895,670594,122442,887114,150970,60.2382,14233.9818658764,161566,316465,275750,643388,7,356128,828773,61895,6785.42603910001,1965084,68,15.36,43.63,99.87,
2023-2024,May,15,KARNATAKA,1525,TUMAKURU,462409,251.36991383729,18,98,3502.420108697,20236,0,72974,462381,60357,84886,31762,43019,221.79349,4886.500319997,25591,42843,223301,530772,5,387202,929926,93210,1162.2867213,238251,82,25.36,14.23,99.86,
2023-2024,Feb,15,KARNATAKA,1502,BENGALURU,84206,294.593449505939,42,8,88.009697275,1455,0,2535,84099,13276,3509,1138,359,31.55849,367.318332375,1976,3479,7151,16349,39,62330,139818,3990,247.7501451,43916,88,47.9,11.46,99.87,
2023-2024,Feb,15,KARNATAKA,1504,BELAGAVI,12151701,298.800827473463,44,3051,20223.3512483749,53102,0,90008,12143048,1313680,107629,1274132,84037,1171.46296,57678.3421128747,271723,411810,426597,928870,4004,817193,1670013,143110,36283.5279044998,7019181,65,27.29,29.58,101.99,
2023-2024,Feb,15,KARNATAKA,1513,DHARWAR,2256047,306.007956688102,42,222,3270.32139671199,14572,0,37818,2247327,191823,20512,136830,15707,378.6649,10525.985729512,52715,95681,87797,229981,381,169128,403739,52390,6876.99943280001,1024865,76,34.27,27.93,101.89,
2023-2024,Feb,15,KARNATAKA,1517,HAVERI,4502310,302.280815729745,44,552,7874.591739536,19076,0,42981,4488337,591904,56685,554096,44752,532.21066,21974.184095836,100184,192747,158350,384173,1177,270693,616725,62057,13567.3816963,2109630,72,30.83,22.81,100.48,
2023-2024,Feb,15,KARNATAKA,1519,KOLAR,3938570,304.232988433321,49,417,7987.59264108801,38269,0,34254,3929564,952203,94503,264158,23485,741.87972,20684.502350688,79008,129385,138560,346096,959,238422,576726,72523,11955.0299896,2070306,73,37.88,25.3,100.12,
2023-2024,Feb,15,KARNATAKA,1523,RAICHUR,11663415,263.839417330067,49,1027,14853.8416636787,35027,0,42413,11662263,2111742,123383,2672046,152045,621.20469,46244.6931003787,234039,468898,278666,648447,3684,363907,822993,77440,30769.6467467,6052307,67,23.93,48.59,99.97,
2023-2024,June,15,KARNATAKA,1503,BENGALURU RURAL,496334,280.462786692026,27,300,419.86758426,3281,0,18701,496334,68766,27929,27955,8721,29.46065,1841.36040196,17856,29054,62702,146312,14,116699,258516,21982,1392.0321677,250930,72,40.43,15.17,100.01,
2023-2024,June,15,KARNATAKA,1508,CHAMARAJA NAGARA,795621,300.130512339836,20,316,24.31,2343,0,32853,795351,232085,88727,72388,33671,0.0,2411.40103120001,38301,59923,130667,305811,21,219755,507461,35196,2387.09103120001,452727,76,22.69,34.06,100.19,
2023-2024,June,15,KARNATAKA,1514,GADAG,2738662,292.329785441146,32,1017,49.48751,1523,0,24626,2736685,409706,56941,250425,25950,9.9965,8059.62939870003,85431,181019,122616,311590,219,163032,398476,26149,8000.14538870003,1312827,71,14.05,69.08,99.9,
2023-2024,June,15,KARNATAKA,1516,HASSAN,1307953,277.739740302239,25,284,2061.324494291,18354,2,56394,1307905,188339,72301,22122,7146,209.18939,5903.085834691,51890,90698,169193,416205,74,276114,643610,74748,3632.5719504,679082,83,38.1,21.86,99.98,
2023-2024,June,15,KARNATAKA,1521,MANDYA,738778,263.28864909241,19,224,2676.311840421,9282,0,35318,738770,83603,43977,4305,2761,84.77372,4706.183113321,37329,55952,154470,376734,13,343302,751078,44600,1945.0975529,423265,74,28.87,16.53,100.01,
2023-2024,June,15,KARNATAKA,1524,SHIVAMOGGA,1097491,264.902088900957,19,333,1120.751775591,8150,0,27671,1097491,250158,89137,68761,20031,63.34099,4091.369350091,55478,94746,159415,403203,36,245137,564020,35821,2907.2765845,602277,80,30.29,42.11,100.08,
2023-2024,June,15,KARNATAKA,1531,VIJAYANAGARA,4486037,258.816583725793,42,1024,3888.085989416,7531,0,35147,5072570,1123466,113637,1133340,92375,110.97996,17127.7183305155,117997,230201,172763,456405,931,243111,643767,42678,13128.6523810995,2615816,63,8.36,64.78,100.04,
2023-2024,July,15,KARNATAKA,1514,GADAG,2976950,303.701498076038,33,1054,76.02176,1881,0,24956,2974849,450344,56985,267291,25953,81.26374,9191.94647850004,88096,186870,122692,311730,276,163289,397845,26837,9034.66097850004,1433840,71,15.07,66.91,99.86,
2023-2024,July,15,KARNATAKA,1523,RAICHUR,8256409,250.703562031634,38,917,7481.62805677634,13060,0,53148,8256409,1456764,122969,1914466,151567,240.76213,28421.5016456767,213044,427067,277346,646188,1279,359458,827265,66208,20699.1114589004,4295115,68,19.23,51.64,99.81,
2023-2024,July,15,KARNATAKA,1525,TUMAKURU,1511481,278.411710380796,25,293,3665.751298697,27443,0,76297,1510915,194142,85087,104803,43119,421.32715,8293.642742597,58137,100149,224212,532479,51,388755,892045,103740,4206.5642939,766388,83,26.83,21.19,99.8,
2023-2024,July,15,KARNATAKA,1528,CHIKKABALLAPURA,1222087,284.24036878793,26,2169,1816.211104183,5542,0,38827,1221976,245395,83374,154972,50464,221.22732,5510.787513083,46241,78006,142368,355782,106,220812,536754,44369,3473.3490889,632660,80,44.83,19.57,99.53,
2023-2024,Sep,15,KARNATAKA,1513,DHARWAR,1506758,304.597390280602,34,178,2720.758543131,5625,0,41670,1505978,129765,20498,91202,15693,223.0563,7530.984529331,43659,77971,87561,229580,152,168285,403091,47295,4587.16968620001,677303,77,32.87,28.53,100.51,
2023-2024,Sep,15,KARNATAKA,1514,GADAG,3263890,302.931284154976,35,1084,2913.912213844,3571,0,24720,3261421,498503,56996,288888,25961,228.21585,13021.992580844,90706,192558,122742,311824,375,163563,394155,28291,9879.86451700005,1577083,70,16.8,64.33,99.85,
2023-2024,Sep,15,KARNATAKA,1515,KALABURAGI,4197435,287.263936154818,27,705,5228.407406841,8397,0,41141,4194929,1035168,142944,98881,10838,499.76826,17778.693831141,153923,267005,250655,545099,180,415427,872107,49538,12050.5181643,2297475,64,24.25,46.98,99.84,
2023-2024,Sep,15,KARNATAKA,1521,MANDYA,1758175,299.974272355913,30,349,4995.98722340599,15009,0,34636,1757913,202831,44091,10727,2766,278.96696,10548.240913806,57787,90350,155231,378030,110,345226,752729,49645,5273.2867304,1033035,73,33.43,19.38,99.95,
2023-2024,Sep,15,KARNATAKA,1526,UDUPI,516726,308.63065152518,34,50,1489.65435537699,5352,0,17331,516726,25060,6656,26439,6929,126.81032,3211.239495777,15178,25943,47961,114144,116,120957,245956,22683,1594.7748204,323056,90,58.65,8.74,99.95,
2023-2024,Sep,15,KARNATAKA,1530,Yadgir,2956661,289.200690290108,31,477,45.18407,12139,0,42828,2956047,603051,66067,370229,36016,217.46353,8811.55592930002,94736,149353,155721,305430,246,266458,529170,54967,8548.90832930002,1539322,81,38.61,43.64,99.97,
2023-2024,Jan,15,KARNATAKA,1504,BELAGAVI,11561438,298.208088263926,43,3021,20106.8654246749,50398,0,90932,11555298,1252277,107591,1234667,84032,1171.46296,55737.1616436746,267481,404796,426416,928616,3583,816452,1669339,141330,34458.8332589997,6657373,66,26.74,30.16,101.61,
2023-2024,Jan,15,KARNATAKA,1507,VIJAYPURA,3866166,305.81978823402,40,1634,4767.617125515,27105,1,36211,3863274,701767,70847,67099,6086,720.64271,17302.916201215,94261,150020,161332,344589,949,343754,761469,63316,11814.6563657,1996044,75,48.86,27.49,100.04,
2023-2024,Jan,15,KARNATAKA,1516,HASSAN,3777055,307.486821057884,40,524,6975.70210838699,57524,2,33584,3775517,540483,72553,62021,7162,692.83794,19277.757250187,92491,171131,170008,417817,925,278768,644970,91108,11609.2172018,1946726,83,45.13,21.75,100.0,
2023-2024,Jan,15,KARNATAKA,1522,MYSURU,2205361,306.271997350815,36,195,4803.171065762,26801,0,46539,2194637,369039,80015,221949,46912,435.69226,11960.421900262,59851,108620,158844,404749,561,343565,841300,73340,6721.5585745,1095732,81,36.36,14.07,100.35,
2023-2024,Jan,15,KARNATAKA,1524,SHIVAMOGGA,2420801,298.617509938054,28,536,3327.062183254,19060,0,23749,2420494,534323,89332,140747,20059,474.82745,11029.908544254,85200,151057,160143,404460,263,246726,565662,42809,7228.018911,1300985,81,39.11,30.34,100.13,
2023-2024,Jan,15,KARNATAKA,1526,UDUPI,693008,309.255283928132,38,59,1762.968238308,7277,0,16642,692869,33926,6677,35717,6939,181.84314,4087.545371508,17931,30781,48253,114651,208,121961,247726,23919,2142.73399320001,437697,90,56.49,9.04,99.92,
2023-2024,April,15,KARNATAKA,1502,BENGALURU,3531,233.054262248655,13,2,58.949300176,71,23,3037,3531,411,3402,38,350,0.0,67.178446176,256,394,6828,15748,0,61282,138334,3108,8.229146,1865,87,32.73,25.82,99.2,
2023-2024,April,15,KARNATAKA,1505,BALLARI,1335505,141.925523787339,17,1417,1358.800586835,1335,0,29495,1184832,236460,68942,386533,95698,34.25434,3074.633948835,66805,133949,112851,326170,1,165053,474147,30830,1681.579022,637151,60,28.12,51.49,99.88,
2023-2024,April,15,KARNATAKA,1506,BIDAR,272130,217.67760618087,11,88,5271.717589067,2708,0,38316,272130,73503,80092,52794,52496,259.74448,6123.828138767,23709,34470,151147,297875,0,234486,473150,41024,592.3660697,150084,60,28.02,16.81,99.83,
2023-2024,April,15,KARNATAKA,1507,VIJAYPURA,439388,217.758701958667,13,490,333.938953464,2125,1,37299,439023,76085,69893,8166,5887,187.07709,1477.026829564,32709,47957,157861,338619,0,333824,748855,39424,956.0107861,233839,73,40.82,32.0,99.97,
2023-2024,April,15,KARNATAKA,1512,DAVANAGERE,470085,230.330021579564,18,101,19.3835472,473,0,27973,469889,96335,66167,70658,44144,112.90404,1214.5830223,25424,43197,122253,286533,4,232665,512764,28446,1082.2954351,232320,81,33.18,20.65,99.97,
2023-2024,April,15,KARNATAKA,1517,HAVERI,324271,204.650380231891,16,112,37.120663,786,4,43876,324118,44331,56323,40984,44518,0.0,700.4293824,19863,35878,156705,381042,1,265609,612582,44662,663.3087194,153257,74,16.65,11.53,99.96,
2023-2024,April,15,KARNATAKA,1518,KODAGU,31781,200.487614190827,16,21,0.0,39,2,6696,31767,3114,8222,1541,4130,0.0,63.6889004,1971,3121,31669,75375,0,86354,189040,6735,63.6889004,16394,76,26.24,10.15,100.03,
2023-2024,April,15,KARNATAKA,1527,UTTARA KANNADA,233731,211.36086321455,15,44,546.259952909001,1455,0,32093,233731,15428,15727,9136,8604,0.0,1040.275812109,15221,23988,91805,229410,0,200348,450426,33548,494.0158592,124656,80,21.78,18.87,99.85,
2023-2024,April,15,KARNATAKA,1530,Yadgir,275103,231.551581696638,11,128,23.49127,6793,2,32828,275097,55332,64631,31883,35131,0.0,660.4827247,23625,34077,152038,298681,0,260499,524660,39621,636.9914547,144399,78,39.32,27.8,99.95,
2023-2024,Dec,15,KARNATAKA,1507,VIJAYPURA,3604042,305.284588966034,39,1612,2998.089980907,25377,1,36553,3601661,654072,70790,62355,6068,720.64271,14714.048670707,92037,146205,161101,344178,830,342661,759708,61930,10995.3159798,1864670,75,49.1,27.62,100.03,
2023-2024,Dec,15,KARNATAKA,1509,CHIKKAMAGALURU,2578430,303.902612302066,44,205,3769.860039531,18570,0,30141,2578136,397694,46577,79201,9168,543.49508,12148.377772231,57446,108044,98191,239004,626,176463,395875,48711,7835.02265269999,1332024,74,41.33,14.92,100.11,
2023-2024,Dec,15,KARNATAKA,1512,DAVANAGERE,2818067,308.485115096426,41,323,2873.065554883,9450,0,25877,2816725,629906,66779,428262,44646,564.75258,12126.9954930828,67770,121560,123689,289186,692,235972,517724,35327,8689.17735819981,1443648,81,34.55,27.94,99.94,
2023-2024,Dec,15,KARNATAKA,1517,HAVERI,4028259,301.341602052857,42,528,5556.11956720201,13426,0,47168,4018594,538822,56662,503560,44740,480.66595,18146.481056802,94788,182276,158251,383985,990,270120,615928,60594,12109.6955396,1883406,73,29.55,23.07,100.21,
2023-2024,Dec,15,KARNATAKA,1521,MANDYA,2432292,304.094908133752,35,403,5223.40121290599,19566,0,33351,2431633,272856,44143,14114,2777,566.36917,13184.242520406,68053,108688,155515,378538,357,346158,752001,52917,7394.4721375,1428995,74,33.12,19.35,100.1,
